Bod1Cis, Bod2Cis, CasCesty, Dlzka, Druh, Hmot, Loko, MeskanieOdchod, PocNaprav, PocVoznov, Vlak
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23301
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23303
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23305
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23307
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23309
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23313
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23315
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23317
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23319
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23321
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23323
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23325
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23327
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23329
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23331
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23333
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23335
33064700, 34694000, 660, 0, Os, 0, 8140, 0, 0, 0, 23335
33404500, 34804500, 720, 14, Os, 24, 8100, 60, 2, 1, 23353
33404500, 34804500, 720, 14, Os, 24, 8100, 0, 2, 1, 23355
33404500, 34804500, 720, 14, Os, 24, 8100, -120, 2, 1, 23357
33404500, 34804500, 720, 14, Os, 24, 8100, 60, 2, 1, 23359
33404500, 34804500, 720, 14, Os, 24, 8100, 0, 2, 1, 23361
33404500, 34804500, 720, 14, Os, 24, 8100, 0, 2, 1, 23363
33404500, 34804500, 720, 14, Os, 24, 8100, 60, 2, 1, 23365
33404500, 34804500, 720, 14, Os, 24, 8100, 0, 2, 1, 23367
33404500, 34804500, 720, 14, Os, 24, 8100, -180, 2, 1, 23369
33404500, 34804500, 720, 14, Os, 24, 8100, 60, 2, 1, 23371
